316	46	4	4	7	1	
317	35	1	3	2	1	
318	22	4	11	6	1	
319	23	4	4	7	1	
320	43	2	-999	3	1	
321	28	2	9	4	1	
322	36	1	10	2	1	
323	39	1	10	2	1	
324	31	3	6	5	1	
325	33	1	10	2	1	
326	32	2	8	3	1	
327	38	2	9	3	-999	
328	27	2	11	4	1	
329	34	2	8	7	-999	
330	42	3	10	6	1	
331	36	2	8	1	1	
332	14	4	10	9	1	
333	16	4	9	6	1	
334	35	3	2	5	-999	
335	51	3	2	5	1	
336	42	2	4	3	1	
337	29	3	3	5	1	
338	24	4	6	8	1	
339	16	4	5	9	1	
340	38	3	-999	5	1	
341	31	4	4	8	1	
342	31	2	9	4	1	
343	41	2	12	3	1	
344	18	1	11	1	1	
345	32	1	10	2	1	
346	9	2	12	3	1	
347	23	2	12	4	1	
348	43	3	3	5	1	
349	20	1	7	2	1	
350	38	4	2	8	1	
351	39	2	3	3	1	
352	35	3	4	7	1	
353	40	3	8	6	1	
354	27	4	12	9	1	
355	25	4	11	6	1	
356	23	3	12	6	1	
357	37	4	2	8	1	
358	40	2	10	3	1	
359	33	-999	10	4	1	
360	21	2	11	4	1	
361	29	2	12	3	1	
362	26	1	10	2	1	
363	46	2	2	4	1	
364	53	4	8	9	1	
365	24	3	11	6	1	
366	17	2	11	4	1	
367	27	4	4	7	1	
368	47	2	2	4	1	
369	34	4	6	9	1	
370	17	4	8	9	1	
371	28	4	5	9	1	
372	31	4	4	9	1	
373	46	3	3	5	1	
374	46	4	11	6	1	
375	27	4	4	-999	1	
376	10	4	4	7	1	
377	43	4	4	7	1	
378	42	2	11	3	1	
379	50	3	11	6	1	
380	38	4	12	9	1	
381	25	4	8	7	1	
382	57	2	11	2	1	
383	35	2	12	6	1	
384	47	2	11	3	1	
385	21	4	10	6	1	
386	2	4	6	9	1	
387	29	4	3	-999	1	
388	55	2	4	1	1	
389	46	4	2	8	1	
390	43	3	6	9	1	
391	47	3	2	8	1	
392	22	2	7	7	1	
393	37	-999	8	8	1	
394	56	3	-999	5	1	
395	38	3	2	8	1	
396	32	1	-999	1	1	
397	5	2	8	4	1	
398	19	4	11	6	1	
399	40	4	2	9	1	
400	38	4	11	8	1	
401	33	3	2	5	1	
402	44	2	2	4	1	
403	51	3	6	8	1	
404	37	3	8	5	1	
405	33	2	6	4	1	
406	19	4	8	9	1	
407	32	3	3	8	1	
408	25	4	4	7	1	
409	17	4	8	8	1	
410	46	2	4	3	1	
411	44	-999	11	6	1	
412	23	4	4	8	1	
413	31	4	2	7	1	
414	27	4	4	7	1	
415	41	2	2	4	1	
416	51	1	2	1	1	
417	46	1	2	-999	1	
418	34	3	5	5	1	
419	32	2	9	3	1	
420	39	1	6	1	-999	
421	5	2	9	4	1	
422	46	4	2	9	1	
423	45	2	8	4	-999	
424	55	1	6	2	1	
425	41	2	7	4	1	
426	43	4	2	9	1	
427	32	2	12	3	1	
428	34	2	3	1	1	
429	47	3	4	7	1	
430	59	2	4	1	1	
431	34	1	-999	2	1	
432	40	1	8	2	1	
433	37	1	9	2	-999	
434	11	1	10	2	1	
435	31	3	3	5	1	
436	2	2	4	7	0	
437	43	2	4	3	-999	
438	57	3	3	5	1	
439	1	4	4	9	-999	
440	31	2	9	3	-999	
441	39	3	2	5	1	
442	33	3	2	5	1	
443	26	4	6	8	1	
444	27	1	10	2	1	
445	12	2	4	7	0	
446	44	3	6	8	1	
447	22	1	2	2	1	
448	10	2	9	4	1	
449	40	4	12	9	1	
450	37	1	10	2	1	
451	27	4	4	7	1	
452	36	2	2	1	1	
453	41	2	4	3	1	
454	35	-999	5	4	1	
455	29	4	2	8	1	
456	44	2	10	3	1	
457	43	4	4	7	1	
458	36	2	9	4	1	
459	21	2	11	4	1	
460	36	2	12	4	1	
461	34	1	2	2	1	
462	19	3	11	6	-999	
463	18	2	11	2	1	
464	44	4	2	8	1	
465	17	1	11	2	1	
466	2	3	11	6	1	
467	41	2	12	4	1	
468	58	1	2	1	1	
469	8	2	11	6	0	
470	44	1	2	1	1	
471	43	4	12	8	1	
472	34	3	10	6	1	
473	31	3	4	5	1	
474	49	2	8	3	1	
475	39	2	7	4	1	
476	24	4	4	8	1	
477	37	1	12	2	1	
478	47	3	8	5	1	
479	8	1	10	2	1	
480	6	2	11	2	1	
481	32	2	6	7	1	
482	31	3	6	9	1	
483	32	2	2	3	-999	
484	37	3	9	6	1	
485	19	3	11	6	1	
