271	2	-9	-9	1
272	2	1	4	0
273	4	7	11	0
274	3	-999	-999	1
275	4	-999	-999	0
276	4	-9	-9	0
277	4	-999	-999	1
278	-999	7	4	1
279	4	5	5	0
280	4	-999	-999	1
281	-999	-999	-999	1
282	4	-9	-9	1
283	3	7	4	1
284	-999	5	3	0
285	1	1	9	-999
286	-999	7	6	0
287	4	7	4	0
288	2	2	10	0
289	2	4	9	0
290	4	9	11	-999
291	1	-999	-999	1
292	-999	-999	-999	0
293	1	2	11	1
294	-999	-999	-999	0
295	1	2	10	1
296	3	6	12	1
297	2	4	9	1
298	-999	-999	-999	1
299	2	-9	-9	1
300	3	6	10	1
301	1	2	10	1
302	2	-999	-999	0
303	-999	4	8	1
304	-999	4	11	1
305	2	7	4	1
306	4	-9	-9	1
307	4	5	2	0
308	-999	8	2	1
309	-999	5	3	0
310	1	2	11	-999
311	2	4	10	1
312	2	-999	-999	1
313	2	4	4	1
314	-999	-999	-999	0
315	3	5	8	-999
316	2	-999	-999	0
317	-999	-999	-999	0
318	-999	-999	-999	0
319	-999	-999	-999	1
320	4	6	11	1
321	4	-999	-999	0
322	-999	-999	-999	1
323	4	6	11	-999
324	4	9	10	1
325	4	-999	-999	0
326	-999	-999	-999	1
327	2	4	11	1
328	-999	5	4	0
329	-999	-999	-999	0
330	2	-999	-999	1
331	-999	2	8	0
332	1	2	10	0
333	-999	2	11	0
334	4	7	6	-999
335	3	-999	-999	1
336	-999	7	7	1
337	-999	-999	-999	0
338	-999	-999	-999	1
339	4	9	5	1
340	-999	4	7	1
341	-999	4	9	1
342	3	-999	-999	1
343	4	5	5	1
344	4	-999	-999	0
345	-999	2	6	0
346	-999	1	10	1
347	-999	-9	-9	1
348	4	9	8	1
349	4	7	4	1
350	4	9	8	1
351	-999	9	4	1
352	-999	4	11	1
353	3	9	8	1
354	-999	-999	-999	0
355	2	-9	-9	1
356	4	-999	-999	0
357	3	5	8	0
358	-999	6	4	0
359	4	-999	-999	0
360	4	-999	-999	1
361	2	6	12	1
362	3	-999	-999	0
363	4	7	4	1
364	-999	1	12	0
365	2	7	4	0
366	4	-9	-9	-999
367	4	9	8	-999
368	4	9	12	1
369	-999	-999	-999	1
370	-999	9	4	0
371	-999	-999	-999	0
372	-999	5	4	0
373	3	5	4	0
374	2	-999	-999	1
375	1	-999	-999	1
376	-999	-999	-999	0
377	4	7	7	1
378	-999	2	11	1
379	4	9	2	0
380	4	8	6	0
381	-999	5	2	0
382	-999	6	12	1
383	-999	-999	-999	1
384	3	8	2	0
385	4	8	6	0
386	2	3	8	0
387	-999	8	6	0
388	2	-9	-9	-999
389	3	5	2	0
390	3	5	3	0
391	2	4	4	1
392	3	5	6	0
393	-999	-999	-999	1
