221	2	2	10	33	1	1	
222	2	9	5	-9	0	6	
223	2	-9	-9	-9	0	6	
224	2	7	4	-9	0	4	
225	2	3	12	-9	1	5	
226	2	-9	-9	-9	0	6	
227	2	-999	-999	-9	1	5	
228	2	4	12	8	0	4	
229	3	6	11	25	1	1	
230	4	-9	-9	-9	1	8	
231	2	-9	-9	-9	0	6	
232	3	5	3	41	1	2	
233	3	9	5	-9	1	5	
234	4	7	4	-9	1	5	
235	4	8	8	-9	1	5	
236	1	-999	-999	38	1	1	
237	3	5	3	33	1	2	
238	2	7	4	-9	1	7	
239	4	-999	-999	-9	1	9	
240	1	2	10	-999	-999	-999	
241	2	4	9	32	1	1	
242	3	-9	-9	-9	1	3	
243	1	2	11	-999	-999	-999	
244	2	1	10	-999	-999	-999	
245	4	9	5	-9	1	5	
246	4	-9	-9	-9	1	5	
247	1	-999	-999	20	1	1	
248	4	-999	-999	22	1	1	
249	2	7	7	28	1	1	
250	1	-999	-999	38	1	1	
251	3	5	8	20	1	1	
252	1	-999	-999	40	1	1	
253	2	-999	-999	-9	1	5	
254	1	-999	-999	56	1	1	
255	1	2	10	-999	-999	-999	
256	1	-999	-999	-9	1	5	
257	3	6	12	18	1	1	
258	3	5	2	36	1	2	
259	1	-999	-999	-9	1	5	
260	2	-999	-999	41	1	1	
261	2	1	11	-999	-999	-999	
262	3	5	4	31	1	1	
263	1	6	11	43	1	1	
264	2	-9	-9	-9	1	3	
265	1	6	11	-9	1	7	
266	4	-999	-999	8	1	1	
267	4	9	5	38	1	1	
268	3	5	3	36	1	1	
269	3	7	2	-9	1	3	
270	2	-999	-999	47	1	1	
271	2	-9	-9	-9	1	7	
272	2	1	4	49	1	1	
273	4	7	11	-9	1	3	
274	3	-999	-999	-9	1	3	
275	4	-999	-999	45	1	1	
276	4	-9	-9	-9	1	9	
277	4	-999	-999	-9	1	7	
278	4	7	4	21	1	1	
279	4	5	5	-9	1	3	
280	4	-999	-999	-9	1	7	
281	3	-999	-999	36	1	1	
282	4	-9	-9	-9	1	9	
283	3	7	4	-9	1	8	
284	4	5	3	46	1	1	
285	1	1	9	-999	-999	-999	
286	4	7	6	36	1	1	
287	4	7	4	-9	1	8	
288	2	2	10	36	1	1	
289	2	4	9	42	1	1	
290	4	9	11	-999	-999	-999	
291	1	-999	-999	-9	1	3	
292	2	-999	-999	-9	0	6	
293	1	2	11	46	1	1	
294	2	-999	-999	51	1	1	
295	1	2	10	44	1	1	
296	3	6	12	37	1	1	
297	2	4	9	6	1	1	
298	4	-999	-999	-9	1	5	
299	2	-9	-9	-9	1	8	
300	3	6	10	25	1	1	
301	1	2	10	-9	1	5	
302	2	-999	-999	-9	1	5	
303	3	4	8	16	1	1	
304	2	4	11	44	1	1	
305	2	7	4	-9	0	6	
306	4	-9	-9	-9	1	8	
307	4	5	2	-9	1	8	
308	1	8	2	-9	1	3	
